	COLD_CONTROL_12H_SHOOT_REP1.cel	COLD_CONTROL_12H_SHOOT_REP2.cel	COLD_6H_SHOOT_REP1.cel	COLD_6H_SHOOT_REP2.cel	COLD_12H_SHOOT_REP1.cel	COLD_12H_SHOOT_REP2.cel
245101_at	9.70762133974119	9.75088597340484	10.3836114740318	10.6068834907991	10.2732094539354	10.3323836660794
245102_at	4.04155579276758	4.06760994402982	4.07027679089635	4.02267138524517	4.08230254400062	4.1199148400784
245103_at	4.18861521234584	4.48478342664323	4.47059342253828	4.43901144711314	4.55099823278395	4.61799757754649
245104_at	8.58357579601107	8.47904817387387	7.706848140105	7.72921426457279	7.706848140105	7.75140227176909
245105_at	5.80623337323242	5.9645017270909	5.82292628838868	5.94290657874554	6.00896656635473	5.94290657874554
245106_at	6.75044788019505	6.70469465314578	6.89343192643467	7.11826684392267	6.891182605523	7.09322760495655
245107_at	4.44777972867544	4.58753108835401	4.56675662972949	4.6293428518024	4.49468048063499	4.68110954664632
245108_at	4.53524926122425	4.59508041602426	4.59508041602426	4.51552436613857	4.52362213530472	4.59508041602426
245109_at	7.16284363553314	6.9182970003514	6.73705523685071	6.95272731833588	6.90564773376522	6.98099688712764
245110_at	4.91070429936152	4.9294406489138	4.99733870964626	4.95119662919378	4.84111377795614	4.81774491020561
245111_at	4.31793805169968	4.60114619945659	4.35974131813178	4.61167183566788	4.6882776852721	4.58878813040806
245112_at	8.07458800070541	8.11405844548426	8.47226928244579	8.51003894344318	8.58891378547968	8.45487852727673
245113_at	5.73376785147463	5.78808674144936	5.75908927642533	5.89515779836289	5.8876273778833	5.70198182554842
245114_at	8.75460167580039	8.74164159779383	9.33193165851055	9.17358257864497	9.34878386338171	9.41053203677222
245115_at	10.2153317449555	10.223648734375	9.72325340960115	9.59358816174665	9.43168486525151	9.60155001453266
245116_at	8.05009901966295	7.97992673735755	7.64345615564496	7.96820127368542	7.72339394170933	7.78623602692965
245117_at	9.58787566627886	9.60830942887995	9.0843713870444	9.15328579847903	8.78348961872032	9.0110012278566
245118_at	11.0770006589692	11.0664324193919	10.7581882380557	10.7656511112735	10.6915833205529	10.7708562339609
245119_at	5.08605951468434	5.09581041323083	8.67947497379222	8.27459276557314	5.39681395429353	5.75450443413496
245120_at	7.16603692698125	7.18518406179512	7.1727876426105	7.42792112658973	7.25912080802505	7.18754952795585
245121_at	11.3065914796884	11.2759970524108	11.4824051045942	11.8189001777925	11.6582937030593	11.6747540275503
245122_at	7.94276381462827	7.95230398834821	8.03405292958684	8.04874706448709	8.23550109355796	8.07334361498539
245123_at	10.8607729272167	10.9084513680298	11.2006242161303	10.9621275212013	10.3172482055544	10.1122628052879
245124_at	9.1555131197992	9.16589422281315	8.66485483162823	8.76464193992881	8.47579793985416	8.68476586042538
245125_at	4.6952121994992	4.65990418699863	4.69869070332103	4.42794386849616	4.57445408741633	4.624657814943
245126_at	5.17419947306538	5.25426798885273	5.26329038949981	5.4458610264471	5.44693870120187	5.44881867761269
245127_at	8.84217701281258	8.61835894494923	7.89273828880552	7.62279686802072	8.09463122096869	8.03251370063943
245128_at	3.63871077630773	3.66763994166029	3.54991988438786	3.49589839742451	3.48848570639323	3.53258044277502
245129_at	5.13322789876472	5.11943495618265	4.44875534823917	4.45740498148293	4.3221279079899	4.4390138533625
245130_at	8.41730896267098	8.51789950560641	8.62000161889794	8.71020240111131	7.410083711789	7.19372448298849
245131_s_at	7.64849426041712	7.56862221078551	7.56713862546132	7.54269830001875	7.05220536757056	7.29091567710812
245132_at	6.43349708775402	6.73506642933088	6.33064359784605	6.36070489375818	6.28676989573084	6.3276647730635
245133_at	6.2025837458127	5.95450203785951	6.05827957967303	5.78975609593763	5.8155430526889	5.92229385940705
245134_s_at	7.13864486309204	6.88205775743812	6.83816215071345	6.77846489564672	6.15949285199533	6.0646471590149
245135_at	4.48826433343057	4.48411670958275	4.55274186227124	4.47648609913323	4.64209841798454	4.54176084770444
245136_at	5.23984936828346	5.18661958955421	5.12978589067379	4.95271442670278	4.81523468081905	4.92852037602567
245137_at	6.14734706728016	5.93054198898918	5.83576219501815	5.94534312325709	5.75351315318744	5.75571060488039
245138_at	7.93085077643122	7.87523523905349	8.78476059797864	8.82303313637482	8.87564007013133	8.8215878853052
245139_at	5.247090949053	5.31333140541061	5.3293146295631	5.27733890120726	5.33658834121108	5.20357802967692
245140_at	4.33932381458837	4.46909730373634	4.36549791915873	4.6239301651927	4.51801626356577	4.61961741582601
245141_at	6.61521989242924	6.70340531598931	7.39715098002461	7.27940025240186	6.89184594884486	6.6528647113233
245142_at	8.72057463127629	8.71441725411345	8.39673779846434	8.36773866169594	8.39359135802738	8.43009035054095
245143_at	6.02911138343252	5.97462439419038	5.10815676488605	5.05468503126096	5.06472608641364	4.93032747554009
245144_at	8.49061394913144	8.29912621902151	8.04401748545376	8.27667833117411	8.07357739067252	8.23056728734804
245145_at	9.26233384385448	9.22950713825188	8.28116672183403	8.74020266858188	8.39585934001886	8.42724790498433
245146_at	8.25912341843527	8.21721660914229	7.74259421887225	7.85121446303165	7.89966681697689	8.00411229826007
245147_at	6.62608320720114	6.47823469498306	6.04962704776183	6.35120929964593	6.23977766404962	6.29981523706454
245148_at	6.76211224176592	6.45223458051001	6.72622693967622	6.70360812482028	6.60532972460537	6.59539234101944
245149_at	6.37203288234987	6.39128602933369	6.40780340858785	6.33102876279083	6.52257951309308	6.52935656252109
245150_at	10.9809119419858	10.9792653384321	10.134062672591	10.0016035231466	10.0030985697978	9.89629211766345
245151_at	4.26287078270416	3.9596392506132	4.2731474629622	4.27041411464799	4.28990405659648	4.32206634227498
